table,column,null_rate
labels,date,0.0
labels,game_id,0.0
labels,game_pk,0.0
labels,game_datetime_utc,0.0
labels,away_team,0.0
labels,home_team,0.0
labels,yrfi,0.0
team,game_id,0.0
team,team,0.0
team,opponent,0.0
team,game_datetime_utc,0.0
team,team_fi_rate_sdt,5.76036866359447e-05
starter,game_id,0.0
starter,team,0.0
starter,opponent,0.0
starter,game_datetime_utc,0.0
starter,starter_fi_allow_rate_sdt,5.76036866359447e-05
lineup,game_id,0.0
lineup,lineup_top4_ops_prior,0.0
lineup,lineup_samples,0.0
pitch,game_id,0.0
pitch,pitch_fb_usage_x_whiff,0.0
pitch,pitch_breaking_usage_x_whiff,0.0
